"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","warning","s","reward_cond","responses","question_order"
"true","fullscreen","0","3699","0.0-0.0","3K5TEWLKGWX2ENZ752HDGPFXGKIIVG","A2199FQE7R6RF6","3H6W48L9F4B5OEOMH57RM53Z4H1WP0","","","","","","","","","","","",""
"","instructions","1","41780","0.0-1.0","3K5TEWLKGWX2ENZ752HDGPFXGKIIVG","A2199FQE7R6RF6","3H6W48L9F4B5OEOMH57RM53Z4H1WP0","[{""page_index"":0,""viewing_time"":11278.600000023842},{""page_index"":1,""viewing_time"":3119.800000011921},{""page_index"":2,""viewing_time"":3237.899999976158},{""page_index"":3,""viewing_time"":3726},{""page_index"":4,""viewing_time"":3865.900000035763},{""page_index"":5,""viewing_time"":4308},{""page_index"":6,""viewing_time"":4965.699999988079},{""page_index"":7,""viewing_time"":3576.199999988079}]","38079.10000002384","","","","","","","","","",""
"","image-keyboard-response","2","42782","0.0-2.0","3K5TEWLKGWX2ENZ752HDGPFXGKIIVG","A2199FQE7R6RF6","3H6W48L9F4B5OEOMH57RM53Z4H1WP0","","","img/land5.png","","1002.5999999642372","-1","0","true","1","1,1,0,0,1,1,1,0,1","",""
"","html-keyboard-response","3","43086","0.0-3.0","3K5TEWLKGWX2ENZ752HDGPFXGKIIVG","A2199FQE7R6RF6","3H6W48L9F4B5OEOMH57RM53Z4H1WP0","","null","<img src=""img/land5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","",""
"","html-keyboard-response","4","47493","0.0-4.0-0.0","3K5TEWLKGWX2ENZ752HDGPFXGKIIVG","A2199FQE7R6RF6","3H6W48L9F4B5OEOMH57RM53Z4H1WP0","","","","","","","","","","","",""
"","image-keyboard-response","5","48496","0.0-5.0","3K5TEWLKGWX2ENZ752HDGPFXGKIIVG","A2199FQE7R6RF6","3H6W48L9F4B5OEOMH57RM53Z4H1WP0","","","img/land5.png","","1003","-1","0","true","1","1,1,0,0,1,1,1,0,1","",""
"","html-keyboard-response","6","48798","0.0-6.0","3K5TEWLKGWX2ENZ752HDGPFXGKIIVG","A2199FQE7R6RF6","3H6W48L9F4B5OEOMH57RM53Z4H1WP0","","null","<img src=""img/land5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","",""
"","html-keyboard-response","7","54581","0.0-7.0-0.0","3K5TEWLKGWX2ENZ752HDGPFXGKIIVG","A2199FQE7R6RF6","3H6W48L9F4B5OEOMH57RM53Z4H1WP0","","","","","","","","","","","",""
"","image-keyboard-response","8","55276","0.0-8.0","3K5TEWLKGWX2ENZ752HDGPFXGKIIVG","A2199FQE7R6RF6","3H6W48L9F4B5OEOMH57RM53Z4H1WP0","","694.1999999880791","img/land2.png","75","695.5","2","1","false","2","1,1,0,0,1,1,1,0,1","",""
"","html-keyboard-response","9","55587","0.0-9.0","3K5TEWLKGWX2ENZ752HDGPFXGKIIVG","A2199FQE7R6RF6","3H6W48L9F4B5OEOMH57RM53Z4H1WP0","","null","<img src=""img/land2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","",""
