"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses","question_order"
"true","fullscreen","0","2577","0.0-0.0","","","","","","","","","","","","","","","","",""
"","instructions","1","11541","0.0-1.0","","","","[{""page_index"":0,""viewing_time"":1483.800000000745},{""page_index"":1,""viewing_time"":1264.800000000745},{""page_index"":2,""viewing_time"":676.3000000007451},{""page_index"":3,""viewing_time"":1727.699999999255},{""page_index"":4,""viewing_time"":1478.0999999977648},{""page_index"":5,""viewing_time"":1264},{""page_index"":6,""viewing_time"":1064.5}]","8960.400000002235","","","","","","","","","","","",""
"","image-keyboard-response","2","12746","0.0-2.0","","","","","1201.699999999255","img/land2.png","75","1204.199999999255","2","1","2","2","1,0.7,0.7,0.7,1,0.7,0.7,0.7,1","1,0.7,0.7,0.7,1,0.7,0.7,0.7,1","","",""
"","html-keyboard-response","3","13059","0.0-3.0","","","","","null","<img src=""img/land2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","4","13181","0.0-4.0","","","","","119.30000000074506","img/land1.png","75","121.30000000074506","2","1","1","2","1,0.7,0.7,0.7,1,0.7,0.7,0.7,1","1,0.7,0.7,0.7,1,0.7,0.7,0.7,1","","",""
"","html-keyboard-response","5","13488","0.0-5.0","","","","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","6","13561","0.0-6.0","","","","","70.69999999925494","img/land3.png","76","72.39999999850988","3","1","3","2","1,0.7,0.7,0.7,1,0.7,0.7,0.7,1","1,0.7,0.7,0.7,1,0.7,0.7,0.7,1","","",""
"","html-keyboard-response","7","13875","0.0-7.0","","","","","null","<img src=""img/land3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","8","13948","0.0-8.0","","","","","70","img/land2.png","75","71.89999999850988","2","1","2","2","1,0.7,0.7,0.7,1,0.7,0.7,0.7,1","1,0.7,0.7,0.7,1,0.7,0.7,0.7,1","","",""
"","html-keyboard-response","9","14263","0.0-9.0","","","","","null","<img src=""img/land2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","10","14338","0.0-10.0","","","","","73.30000000074506","img/land1.png","75","75.09999999776483","2","1","1","2","1,0.7,0.7,0.7,1,0.7,0.7,0.7,1","1,0.7,0.7,0.7,1,0.7,0.7,0.7,1","","",""
"","html-keyboard-response","11","14646","0.0-11.0","","","","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
