"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses","question_order"
"true","fullscreen","0","2600","0.0-0.0","","","","","","","","","","","","","","","","",""
"","instructions","1","16159","0.0-1.0","","","","[{""page_index"":0,""viewing_time"":1251},{""page_index"":1,""viewing_time"":720},{""page_index"":2,""viewing_time"":2857},{""page_index"":3,""viewing_time"":2264},{""page_index"":4,""viewing_time"":2272},{""page_index"":5,""viewing_time"":2182},{""page_index"":6,""viewing_time"":2008}]","13555","","","","","","","","","","","",""
"","image-keyboard-response","2","17474","0.0-2.0","","","","","1311","img/land6.png","74","1315","1","0","3","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.2,0.2,0.8,0.8,0.2,0.2,0.2,0.8,0.2","2","",""
"","html-keyboard-response","3","17780","0.0-3.0","","","","","null","<img src=""img/land6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","4","17895","0.0-4.0","","","","","111","img/land4.png","75","114","2","1","2","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.2,0.2,0.8,0.8,0.2,0.2,0.2,0.8,0.2","2","",""
"","html-keyboard-response","5","18201","0.0-5.0","","","","","null","<img src=""img/land4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","6","18392","0.0-6.0","","","","","188","img/land4.png","75","189","2","0","2","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.2,0.2,0.8,0.8,0.2,0.2,0.2,0.8,0.2","2","",""
"","html-keyboard-response","7","18705","0.0-7.0","","","","","null","<img src=""img/land4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","8","18734","0.0-8.0","","","","","28","img/land3.png","75","29","2","0","1","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.2,0.2,0.8,0.8,0.2,0.2,0.2,0.8,0.2","2","",""
"","html-keyboard-response","9","19035","0.0-9.0","","","","","null","<img src=""img/land3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
