"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses","question_order"
"true","fullscreen","0","2963","0.0-0.0","3OLQQLKKNTBH7NXRSUD3SM6BW8WJEQ","A2QTL039A5VV3I","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","","","","","","","","","","","","",""
"","instructions","1","74104","0.0-1.0","3OLQQLKKNTBH7NXRSUD3SM6BW8WJEQ","A2QTL039A5VV3I","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","[{""page_index"":0,""viewing_time"":1643},{""page_index"":1,""viewing_time"":577.2999999523163},{""page_index"":2,""viewing_time"":85.29999995231628},{""page_index"":3,""viewing_time"":2086},{""page_index"":4,""viewing_time"":63075.800000071526},{""page_index"":5,""viewing_time"":2101},{""page_index"":6,""viewing_time"":1570.1999999284744}]","71139","","","","","","","","","","","",""
"","image-keyboard-response","2","74784","0.0-2.0","3OLQQLKKNTBH7NXRSUD3SM6BW8WJEQ","A2QTL039A5VV3I","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","678.7999999523163","img/land3.png","76","679.8999999761581","3","0","2","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","3","75087","0.0-3.0","3OLQQLKKNTBH7NXRSUD3SM6BW8WJEQ","A2QTL039A5VV3I","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","null","<img src=""img/land3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","4","75559","0.0-4.0","3OLQQLKKNTBH7NXRSUD3SM6BW8WJEQ","A2QTL039A5VV3I","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","471.10000002384186","img/land6.png","75","471.90000009536743","2","0","3","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","5","75860","0.0-5.0","3OLQQLKKNTBH7NXRSUD3SM6BW8WJEQ","A2QTL039A5VV3I","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","null","<img src=""img/land6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","6","76043","0.0-6.0","3OLQQLKKNTBH7NXRSUD3SM6BW8WJEQ","A2QTL039A5VV3I","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","182.20000004768372","img/land5.png","74","183.09999990463257","1","1","1","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","7","76349","0.0-7.0","3OLQQLKKNTBH7NXRSUD3SM6BW8WJEQ","A2QTL039A5VV3I","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","null","<img src=""img/land5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","8","76648","0.0-8.0","3OLQQLKKNTBH7NXRSUD3SM6BW8WJEQ","A2QTL039A5VV3I","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","298.10000002384186","img/land6.png","74","298.7999999523163","1","0","3","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","9","76950","0.0-9.0","3OLQQLKKNTBH7NXRSUD3SM6BW8WJEQ","A2QTL039A5VV3I","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","null","<img src=""img/land6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
