"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses","question_order"
"true","fullscreen","0","2584","0.0-0.0","3KOPY89HM9OEXPHU3AW79V2E57EJ3J","A2U8IBLKZ3K6AY","356TQKY9XFJ5S7O4NGX4839SMNB87N","","","","","","","","","","","","","",""
"","instructions","1","15909","0.0-1.0","3KOPY89HM9OEXPHU3AW79V2E57EJ3J","A2U8IBLKZ3K6AY","356TQKY9XFJ5S7O4NGX4839SMNB87N","[{""page_index"":0,""viewing_time"":1144.2999999970198},{""page_index"":1,""viewing_time"":1463.3000000044703},{""page_index"":2,""viewing_time"":683.7999999970198},{""page_index"":3,""viewing_time"":5884.89999999851},{""page_index"":4,""viewing_time"":1651.8999999985099},{""page_index"":5,""viewing_time"":1228.5},{""page_index"":6,""viewing_time"":1260.2000000029802}]","13319.10000000149","","","","","","","","","","","",""
"","image-keyboard-response","2","17461","0.0-2.0","3KOPY89HM9OEXPHU3AW79V2E57EJ3J","A2U8IBLKZ3K6AY","356TQKY9XFJ5S7O4NGX4839SMNB87N","","1547.6000000014901","img/land5.png","76","1551.5","3","1","2","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","3","17767","0.0-3.0","3KOPY89HM9OEXPHU3AW79V2E57EJ3J","A2U8IBLKZ3K6AY","356TQKY9XFJ5S7O4NGX4839SMNB87N","","null","<img src=""img/land5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","4","18709","0.0-4.0","3KOPY89HM9OEXPHU3AW79V2E57EJ3J","A2U8IBLKZ3K6AY","356TQKY9XFJ5S7O4NGX4839SMNB87N","","938.1999999955297","img/land6.png","75","940.3999999985099","2","0","3","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","5","19013","0.0-5.0","3KOPY89HM9OEXPHU3AW79V2E57EJ3J","A2U8IBLKZ3K6AY","356TQKY9XFJ5S7O4NGX4839SMNB87N","","null","<img src=""img/land6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","6","20354","0.0-6.0","3KOPY89HM9OEXPHU3AW79V2E57EJ3J","A2U8IBLKZ3K6AY","356TQKY9XFJ5S7O4NGX4839SMNB87N","","1338.1999999955297","img/land2.png","76","1340.3999999985099","3","1","1","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","7","20658","0.0-7.0","3KOPY89HM9OEXPHU3AW79V2E57EJ3J","A2U8IBLKZ3K6AY","356TQKY9XFJ5S7O4NGX4839SMNB87N","","null","<img src=""img/land2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","8","21247","0.0-8.0","3KOPY89HM9OEXPHU3AW79V2E57EJ3J","A2U8IBLKZ3K6AY","356TQKY9XFJ5S7O4NGX4839SMNB87N","","580.7999999970198","img/land6.png","76","589.2999999970198","3","0","3","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","9","21552","0.0-9.0","3KOPY89HM9OEXPHU3AW79V2E57EJ3J","A2U8IBLKZ3K6AY","356TQKY9XFJ5S7O4NGX4839SMNB87N","","null","<img src=""img/land6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
