"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","warning","s","reward_cond","responses","question_order"
"true","fullscreen","0","74095","0.0-0.0","3HRMW88U17C8H5OINKRGNPWO2HLM07","A3PRQ2GSU42718","3SA4EMRVJVOCGON1OYE6FAUV3AFP0G","","","","","","","","","","","",""
"","instructions","1","120420","0.0-1.0","3HRMW88U17C8H5OINKRGNPWO2HLM07","A3PRQ2GSU42718","3SA4EMRVJVOCGON1OYE6FAUV3AFP0G","[{""page_index"":0,""viewing_time"":17765},{""page_index"":1,""viewing_time"":4870},{""page_index"":2,""viewing_time"":1262},{""page_index"":3,""viewing_time"":1170},{""page_index"":4,""viewing_time"":8541},{""page_index"":5,""viewing_time"":1998},{""page_index"":6,""viewing_time"":6418},{""page_index"":7,""viewing_time"":4297}]","46321","","","","","","","","","",""
"","image-keyboard-response","2","121427","0.0-2.0","3HRMW88U17C8H5OINKRGNPWO2HLM07","A3PRQ2GSU42718","3SA4EMRVJVOCGON1OYE6FAUV3AFP0G","","","img/land3.png","","1008","-1","0","true","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","",""
"","html-keyboard-response","3","121747","0.0-3.0","3HRMW88U17C8H5OINKRGNPWO2HLM07","A3PRQ2GSU42718","3SA4EMRVJVOCGON1OYE6FAUV3AFP0G","","null","<img src=""img/land3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","",""
"","html-keyboard-response","4","125487","0.0-4.0-0.0","3HRMW88U17C8H5OINKRGNPWO2HLM07","A3PRQ2GSU42718","3SA4EMRVJVOCGON1OYE6FAUV3AFP0G","","","","","","","","","","","",""
"","image-keyboard-response","5","126226","0.0-5.0","3HRMW88U17C8H5OINKRGNPWO2HLM07","A3PRQ2GSU42718","3SA4EMRVJVOCGON1OYE6FAUV3AFP0G","","737","img/land3.png","74","739","1","0","false","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","",""
"","html-keyboard-response","6","126530","0.0-6.0","3HRMW88U17C8H5OINKRGNPWO2HLM07","A3PRQ2GSU42718","3SA4EMRVJVOCGON1OYE6FAUV3AFP0G","","null","<img src=""img/land3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","",""
"","image-keyboard-response","7","127161","0.0-8.0","3HRMW88U17C8H5OINKRGNPWO2HLM07","A3PRQ2GSU42718","3SA4EMRVJVOCGON1OYE6FAUV3AFP0G","","628","img/land9.png","74","630","1","1","false","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","",""
"","html-keyboard-response","8","127478","0.0-9.0","3HRMW88U17C8H5OINKRGNPWO2HLM07","A3PRQ2GSU42718","3SA4EMRVJVOCGON1OYE6FAUV3AFP0G","","null","<img src=""img/land9.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","",""
"","image-keyboard-response","9","128053","0.0-11.0","3HRMW88U17C8H5OINKRGNPWO2HLM07","A3PRQ2GSU42718","3SA4EMRVJVOCGON1OYE6FAUV3AFP0G","","573","img/land9.png","74","574","1","1","false","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","",""
"","html-keyboard-response","10","128379","0.0-12.0","3HRMW88U17C8H5OINKRGNPWO2HLM07","A3PRQ2GSU42718","3SA4EMRVJVOCGON1OYE6FAUV3AFP0G","","null","<img src=""img/land9.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","",""
"","image-keyboard-response","11","128847","0.0-14.0","3HRMW88U17C8H5OINKRGNPWO2HLM07","A3PRQ2GSU42718","3SA4EMRVJVOCGON1OYE6FAUV3AFP0G","","466","img/land9.png","74","468","1","1","false","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","",""
"","html-keyboard-response","12","129164","0.0-15.0","3HRMW88U17C8H5OINKRGNPWO2HLM07","A3PRQ2GSU42718","3SA4EMRVJVOCGON1OYE6FAUV3AFP0G","","null","<img src=""img/land9.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","",""
"","image-keyboard-response","13","129793","0.0-17.0","3HRMW88U17C8H5OINKRGNPWO2HLM07","A3PRQ2GSU42718","3SA4EMRVJVOCGON1OYE6FAUV3AFP0G","","627","img/land5.png","74","628","1","0","false","3","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","",""
"","html-keyboard-response","14","130097","0.0-18.0","3HRMW88U17C8H5OINKRGNPWO2HLM07","A3PRQ2GSU42718","3SA4EMRVJVOCGON1OYE6FAUV3AFP0G","","null","<img src=""img/land5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","",""
"","image-keyboard-response","15","130853","0.0-20.0","3HRMW88U17C8H5OINKRGNPWO2HLM07","A3PRQ2GSU42718","3SA4EMRVJVOCGON1OYE6FAUV3AFP0G","","754","img/land9.png","75","754","2","0","false","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","",""
"","html-keyboard-response","16","131177","0.0-21.0","3HRMW88U17C8H5OINKRGNPWO2HLM07","A3PRQ2GSU42718","3SA4EMRVJVOCGON1OYE6FAUV3AFP0G","","null","<img src=""img/land9.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","",""
"","image-keyboard-response","17","131593","0.0-23.0","3HRMW88U17C8H5OINKRGNPWO2HLM07","A3PRQ2GSU42718","3SA4EMRVJVOCGON1OYE6FAUV3AFP0G","","414","img/land5.png","75","414","2","0","false","3","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","",""
"","html-keyboard-response","18","131894","0.0-24.0","3HRMW88U17C8H5OINKRGNPWO2HLM07","A3PRQ2GSU42718","3SA4EMRVJVOCGON1OYE6FAUV3AFP0G","","null","<img src=""img/land5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","",""
"","image-keyboard-response","19","132316","0.0-26.0","3HRMW88U17C8H5OINKRGNPWO2HLM07","A3PRQ2GSU42718","3SA4EMRVJVOCGON1OYE6FAUV3AFP0G","","420","img/land3.png","76","422","3","0","false","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","",""
"","html-keyboard-response","20","132627","0.0-27.0","3HRMW88U17C8H5OINKRGNPWO2HLM07","A3PRQ2GSU42718","3SA4EMRVJVOCGON1OYE6FAUV3AFP0G","","null","<img src=""img/land3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","",""
"","image-keyboard-response","21","132980","0.0-29.0","3HRMW88U17C8H5OINKRGNPWO2HLM07","A3PRQ2GSU42718","3SA4EMRVJVOCGON1OYE6FAUV3AFP0G","","350","img/land9.png","74","352","1","0","false","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","",""
"","html-keyboard-response","22","133287","0.0-30.0","3HRMW88U17C8H5OINKRGNPWO2HLM07","A3PRQ2GSU42718","3SA4EMRVJVOCGON1OYE6FAUV3AFP0G","","null","<img src=""img/land9.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","",""
"","image-keyboard-response","23","133687","0.0-32.0","3HRMW88U17C8H5OINKRGNPWO2HLM07","A3PRQ2GSU42718","3SA4EMRVJVOCGON1OYE6FAUV3AFP0G","","397","img/land9.png","75","399","2","0","false","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","",""
"","html-keyboard-response","24","133999","0.0-33.0","3HRMW88U17C8H5OINKRGNPWO2HLM07","A3PRQ2GSU42718","3SA4EMRVJVOCGON1OYE6FAUV3AFP0G","","null","<img src=""img/land9.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","",""
