"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses","question_order"
"true","fullscreen","0","2421","0.0-0.0","3P4MQ7TPPYYDI1NVUBYWTQHDKO1BBN","A3QPVH0DRW0ZQV","3S1L4CQSFXRWQOWP2XFUSMS4AZDFAL","","","","","","","","","","","","","",""
"","instructions","1","638998","0.0-1.0","3P4MQ7TPPYYDI1NVUBYWTQHDKO1BBN","A3QPVH0DRW0ZQV","3S1L4CQSFXRWQOWP2XFUSMS4AZDFAL","[{""page_index"":0,""viewing_time"":1708.3999999985099},{""page_index"":1,""viewing_time"":2098.89999999851},{""page_index"":2,""viewing_time"":1010.7000000029802},{""page_index"":3,""viewing_time"":5223.39999999851},{""page_index"":4,""viewing_time"":5257},{""page_index"":5,""viewing_time"":23264},{""page_index"":6,""viewing_time"":598012.1999999993}]","636574.8999999985","","","","","","","","","","","",""
"","image-keyboard-response","2","640733","0.0-2.0","3P4MQ7TPPYYDI1NVUBYWTQHDKO1BBN","A3QPVH0DRW0ZQV","3S1L4CQSFXRWQOWP2XFUSMS4AZDFAL","","1734.5","img/land3.png","74","1735.3999999985099","1","1","1","1","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","1","",""
"","html-keyboard-response","3","641035","0.0-3.0","3P4MQ7TPPYYDI1NVUBYWTQHDKO1BBN","A3QPVH0DRW0ZQV","3S1L4CQSFXRWQOWP2XFUSMS4AZDFAL","","null","<img src=""img/land3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","4","641749","0.0-4.0","3P4MQ7TPPYYDI1NVUBYWTQHDKO1BBN","A3QPVH0DRW0ZQV","3S1L4CQSFXRWQOWP2XFUSMS4AZDFAL","","713.4000000022352","img/land1.png","75","714","2","0","3","1","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","1","",""
"","html-keyboard-response","5","642051","0.0-5.0","3P4MQ7TPPYYDI1NVUBYWTQHDKO1BBN","A3QPVH0DRW0ZQV","3S1L4CQSFXRWQOWP2XFUSMS4AZDFAL","","null","<img src=""img/land1.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","6","642807","0.0-6.0","3P4MQ7TPPYYDI1NVUBYWTQHDKO1BBN","A3QPVH0DRW0ZQV","3S1L4CQSFXRWQOWP2XFUSMS4AZDFAL","","755.8000000007451","img/land1.png","76","756.1999999992549","3","1","3","1","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","1","",""
"","html-keyboard-response","7","643108","0.0-7.0","3P4MQ7TPPYYDI1NVUBYWTQHDKO1BBN","A3QPVH0DRW0ZQV","3S1L4CQSFXRWQOWP2XFUSMS4AZDFAL","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","8","644435","0.0-8.0","3P4MQ7TPPYYDI1NVUBYWTQHDKO1BBN","A3QPVH0DRW0ZQV","3S1L4CQSFXRWQOWP2XFUSMS4AZDFAL","","1326.800000000745","img/land6.png","75","1327.199999999255","2","1","2","1","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","1","",""
"","html-keyboard-response","9","644736","0.0-9.0","3P4MQ7TPPYYDI1NVUBYWTQHDKO1BBN","A3QPVH0DRW0ZQV","3S1L4CQSFXRWQOWP2XFUSMS4AZDFAL","","null","<img src=""img/land6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
