"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses","question_order"
"true","fullscreen","0","5692","0.0-0.0","30LB5CDZNDW8GCN129HAVRSXLXOZ0E","A9S6EGIY10U0X","3TKXBROM5TWR181JXBYSOI8FGFVJIU","","","","","","","","","","","","","",""
"","instructions","1","22053","0.0-1.0","30LB5CDZNDW8GCN129HAVRSXLXOZ0E","A9S6EGIY10U0X","3TKXBROM5TWR181JXBYSOI8FGFVJIU","[{""page_index"":0,""viewing_time"":1670},{""page_index"":1,""viewing_time"":984},{""page_index"":2,""viewing_time"":839},{""page_index"":3,""viewing_time"":5335},{""page_index"":4,""viewing_time"":1354},{""page_index"":5,""viewing_time"":1296},{""page_index"":6,""viewing_time"":4879}]","16357","","","","","","","","","","","",""
"","image-keyboard-response","2","22455","0.0-2.0","30LB5CDZNDW8GCN129HAVRSXLXOZ0E","A9S6EGIY10U0X","3TKXBROM5TWR181JXBYSOI8FGFVJIU","","400","img/land2.png","74","401","1","1","2","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.2,0.2,0.8,0.8,0.2,0.2,0.2,0.8,0.2","2","",""
"","html-keyboard-response","3","22764","0.0-3.0","30LB5CDZNDW8GCN129HAVRSXLXOZ0E","A9S6EGIY10U0X","3TKXBROM5TWR181JXBYSOI8FGFVJIU","","null","<img src=""img/land2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","4","23308","0.0-4.0","30LB5CDZNDW8GCN129HAVRSXLXOZ0E","A9S6EGIY10U0X","3TKXBROM5TWR181JXBYSOI8FGFVJIU","","543","img/land2.png","74","544","1","1","2","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.2,0.2,0.8,0.8,0.2,0.2,0.2,0.8,0.2","2","",""
"","html-keyboard-response","5","23620","0.0-5.0","30LB5CDZNDW8GCN129HAVRSXLXOZ0E","A9S6EGIY10U0X","3TKXBROM5TWR181JXBYSOI8FGFVJIU","","null","<img src=""img/land2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","6","24267","0.0-6.0","30LB5CDZNDW8GCN129HAVRSXLXOZ0E","A9S6EGIY10U0X","3TKXBROM5TWR181JXBYSOI8FGFVJIU","","647","img/land3.png","74","648","1","1","3","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.2,0.2,0.8,0.8,0.2,0.2,0.2,0.8,0.2","2","",""
"","html-keyboard-response","7","24581","0.0-7.0","30LB5CDZNDW8GCN129HAVRSXLXOZ0E","A9S6EGIY10U0X","3TKXBROM5TWR181JXBYSOI8FGFVJIU","","null","<img src=""img/land3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","8","25607","0.0-8.0","30LB5CDZNDW8GCN129HAVRSXLXOZ0E","A9S6EGIY10U0X","3TKXBROM5TWR181JXBYSOI8FGFVJIU","","1024","img/land1.png","76","1026","3","1","1","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.2,0.2,0.8,0.8,0.2,0.2,0.2,0.8,0.2","2","",""
"","html-keyboard-response","9","25914","0.0-9.0","30LB5CDZNDW8GCN129HAVRSXLXOZ0E","A9S6EGIY10U0X","3TKXBROM5TWR181JXBYSOI8FGFVJIU","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","10","26277","0.0-10.0","30LB5CDZNDW8GCN129HAVRSXLXOZ0E","A9S6EGIY10U0X","3TKXBROM5TWR181JXBYSOI8FGFVJIU","","361","img/land1.png","76","362","3","1","1","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.2,0.2,0.8,0.8,0.2,0.2,0.2,0.8,0.2","2","",""
"","html-keyboard-response","11","26579","0.0-11.0","30LB5CDZNDW8GCN129HAVRSXLXOZ0E","A9S6EGIY10U0X","3TKXBROM5TWR181JXBYSOI8FGFVJIU","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","12","26844","0.0-12.0","30LB5CDZNDW8GCN129HAVRSXLXOZ0E","A9S6EGIY10U0X","3TKXBROM5TWR181JXBYSOI8FGFVJIU","","265","img/land1.png","76","267","3","1","1","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.2,0.2,0.8,0.8,0.2,0.2,0.2,0.8,0.2","2","",""
"","html-keyboard-response","13","27149","0.0-13.0","30LB5CDZNDW8GCN129HAVRSXLXOZ0E","A9S6EGIY10U0X","3TKXBROM5TWR181JXBYSOI8FGFVJIU","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
