"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses","question_order"
"true","fullscreen","0","4004","0.0-0.0","3Q5C1WP23NNAGNOUR4EUKS4CPUC51E","AKNYT1NTK2UFK","3FVBZG9CLJ0K37PD5L6161S4HTM0HN","","","","","","","","","","","","","",""
"","instructions","1","36438","0.0-1.0","3Q5C1WP23NNAGNOUR4EUKS4CPUC51E","AKNYT1NTK2UFK","3FVBZG9CLJ0K37PD5L6161S4HTM0HN","[{""page_index"":0,""viewing_time"":6868.300000000745},{""page_index"":1,""viewing_time"":3539.199999999255},{""page_index"":2,""viewing_time"":2311.400000002235},{""page_index"":3,""viewing_time"":5080.099999997765},{""page_index"":4,""viewing_time"":3607},{""page_index"":5,""viewing_time"":8053.60000000149},{""page_index"":6,""viewing_time"":2970.60000000149}]","32431.5","","","","","","","","","","","",""
"","image-keyboard-response","2","38445","0.0-2.0","3Q5C1WP23NNAGNOUR4EUKS4CPUC51E","AKNYT1NTK2UFK","3FVBZG9CLJ0K37PD5L6161S4HTM0HN","","","img/land2.png","","2005.1000000014901","-1","0","2","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","3","38748","0.0-3.0","3Q5C1WP23NNAGNOUR4EUKS4CPUC51E","AKNYT1NTK2UFK","3FVBZG9CLJ0K37PD5L6161S4HTM0HN","","null","<img src=""img/land2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","4","39727","0.0-4.0","3Q5C1WP23NNAGNOUR4EUKS4CPUC51E","AKNYT1NTK2UFK","3FVBZG9CLJ0K37PD5L6161S4HTM0HN","","976.6999999992549","img/land2.png","74","978.9000000022352","1","1","2","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","5","40031","0.0-5.0","3Q5C1WP23NNAGNOUR4EUKS4CPUC51E","AKNYT1NTK2UFK","3FVBZG9CLJ0K37PD5L6161S4HTM0HN","","null","<img src=""img/land2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","6","41080","0.0-6.0","3Q5C1WP23NNAGNOUR4EUKS4CPUC51E","AKNYT1NTK2UFK","3FVBZG9CLJ0K37PD5L6161S4HTM0HN","","1047","img/land4.png","74","1048.5","1","1","1","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","7","41383","0.0-7.0","3Q5C1WP23NNAGNOUR4EUKS4CPUC51E","AKNYT1NTK2UFK","3FVBZG9CLJ0K37PD5L6161S4HTM0HN","","null","<img src=""img/land4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","8","43386","0.0-8.0","3Q5C1WP23NNAGNOUR4EUKS4CPUC51E","AKNYT1NTK2UFK","3FVBZG9CLJ0K37PD5L6161S4HTM0HN","","","img/land4.png","","2002.8999999985099","-1","0","1","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","9","43689","0.0-9.0","3Q5C1WP23NNAGNOUR4EUKS4CPUC51E","AKNYT1NTK2UFK","3FVBZG9CLJ0K37PD5L6161S4HTM0HN","","null","<img src=""img/land4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
