"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses","question_order"
"true","fullscreen","0","5924","0.0-0.0","3L4PIM1GQU2WBGXV00Y61GKIORWRYM","AN1JWYDJH4VQR","3JUDR1D0D6D4CARU3YX9Y3DK5DJ2QK","","","","","","","","","","","","","",""
"","instructions","1","22391","0.0-1.0","3L4PIM1GQU2WBGXV00Y61GKIORWRYM","AN1JWYDJH4VQR","3JUDR1D0D6D4CARU3YX9Y3DK5DJ2QK","[{""page_index"":0,""viewing_time"":1862},{""page_index"":1,""viewing_time"":1285},{""page_index"":2,""viewing_time"":3362},{""page_index"":3,""viewing_time"":5154},{""page_index"":4,""viewing_time"":1775},{""page_index"":5,""viewing_time"":1352},{""page_index"":6,""viewing_time"":1667}]","16460","","","","","","","","","","","",""
"","image-keyboard-response","2","24401","0.0-2.0","3L4PIM1GQU2WBGXV00Y61GKIORWRYM","AN1JWYDJH4VQR","3JUDR1D0D6D4CARU3YX9Y3DK5DJ2QK","","","img/land2.png","","2008","-1","0","1","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","3","24707","0.0-3.0","3L4PIM1GQU2WBGXV00Y61GKIORWRYM","AN1JWYDJH4VQR","3JUDR1D0D6D4CARU3YX9Y3DK5DJ2QK","","null","<img src=""img/land2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","4","25422","0.0-4.0","3L4PIM1GQU2WBGXV00Y61GKIORWRYM","AN1JWYDJH4VQR","3JUDR1D0D6D4CARU3YX9Y3DK5DJ2QK","","711","img/land3.png","75","713","2","0","3","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","5","25725","0.0-5.0","3L4PIM1GQU2WBGXV00Y61GKIORWRYM","AN1JWYDJH4VQR","3JUDR1D0D6D4CARU3YX9Y3DK5DJ2QK","","null","<img src=""img/land3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","6","25737","0.0-6.0","3L4PIM1GQU2WBGXV00Y61GKIORWRYM","AN1JWYDJH4VQR","3JUDR1D0D6D4CARU3YX9Y3DK5DJ2QK","","10","img/land3.png","76","11","3","1","3","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","7","26040","0.0-7.0","3L4PIM1GQU2WBGXV00Y61GKIORWRYM","AN1JWYDJH4VQR","3JUDR1D0D6D4CARU3YX9Y3DK5DJ2QK","","null","<img src=""img/land3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","8","26138","0.0-8.0","3L4PIM1GQU2WBGXV00Y61GKIORWRYM","AN1JWYDJH4VQR","3JUDR1D0D6D4CARU3YX9Y3DK5DJ2QK","","95","img/land1.png","75","97","2","1","2","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","9","26441","0.0-9.0","3L4PIM1GQU2WBGXV00Y61GKIORWRYM","AN1JWYDJH4VQR","3JUDR1D0D6D4CARU3YX9Y3DK5DJ2QK","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
