"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses","question_order"
"true","fullscreen","0","2578","0.0-0.0","","","","","","","","","","","","","","","","",""
"","instructions","1","18200","0.0-1.0","","","","[{""page_index"":0,""viewing_time"":4351.699999928474},{""page_index"":1,""viewing_time"":1887.3999999761581},{""page_index"":2,""viewing_time"":1550.3000000715256},{""page_index"":3,""viewing_time"":3841.899999976158},{""page_index"":4,""viewing_time"":1399.7999999523163},{""page_index"":5,""viewing_time"":1100.2000000476837},{""page_index"":6,""viewing_time"":1479.7999999523163}]","15611.899999976158","","","","","","","","","","","",""
"","image-keyboard-response","2","19623","0.0-2.0","","","","","1418.5999999046326","img/land1.png","74","1422.1000000238419","1","1","1","2","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","","",""
"","html-keyboard-response","3","19941","0.0-3.0","","","","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","4","20790","0.0-4.0","","","","","846.8999999761581","img/land1.png","74","848.6999999284744","1","1","1","2","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","","",""
"","html-keyboard-response","5","21108","0.0-5.0","","","","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","6","21821","0.0-6.0","","","","","709.7000000476837","img/land1.png","74","711.9000000953674","1","1","1","2","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","","",""
"","html-keyboard-response","7","22129","0.0-7.0","","","","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","8","22517","0.0-8.0","","","","","385","img/land1.png","74","386.89999997615814","1","1","1","2","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","","",""
"","html-keyboard-response","9","22821","0.0-9.0","","","","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
