"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses","question_order"
"true","fullscreen","0","3471","0.0-0.0","3R6BYFZZP8YA8L2C49CA1DZQJVYXFU","AX8FMIUNJR0TD","356TQKY9XFJ5S7O4NGX4839SMNB87N","","","","","","","","","","","","","",""
"","instructions","1","36979","0.0-1.0","3R6BYFZZP8YA8L2C49CA1DZQJVYXFU","AX8FMIUNJR0TD","356TQKY9XFJ5S7O4NGX4839SMNB87N","[{""page_index"":0,""viewing_time"":2041.5},{""page_index"":1,""viewing_time"":2611.899999856949},{""page_index"":2,""viewing_time"":1975.3000001907349},{""page_index"":3,""viewing_time"":7659.899999856949},{""page_index"":4,""viewing_time"":4197.200000047684},{""page_index"":5,""viewing_time"":12377.400000095367},{""page_index"":6,""viewing_time"":2641}]","33504.89999985695","","","","","","","","","","","",""
"","image-keyboard-response","2","38803","0.0-2.0","3R6BYFZZP8YA8L2C49CA1DZQJVYXFU","AX8FMIUNJR0TD","356TQKY9XFJ5S7O4NGX4839SMNB87N","","1822.2000000476837","img/land2.png","74","1823.2999999523163","1","1","1","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","3","39107","0.0-3.0","3R6BYFZZP8YA8L2C49CA1DZQJVYXFU","AX8FMIUNJR0TD","356TQKY9XFJ5S7O4NGX4839SMNB87N","","null","<img src=""img/land2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","4","40340","0.0-4.0","3R6BYFZZP8YA8L2C49CA1DZQJVYXFU","AX8FMIUNJR0TD","356TQKY9XFJ5S7O4NGX4839SMNB87N","","1231.9000000953674","img/land2.png","74","1233.2000000476837","1","1","1","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","5","40643","0.0-5.0","3R6BYFZZP8YA8L2C49CA1DZQJVYXFU","AX8FMIUNJR0TD","356TQKY9XFJ5S7O4NGX4839SMNB87N","","null","<img src=""img/land2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","6","41226","0.0-6.0","3R6BYFZZP8YA8L2C49CA1DZQJVYXFU","AX8FMIUNJR0TD","356TQKY9XFJ5S7O4NGX4839SMNB87N","","581.7999999523163","img/land2.png","74","582.7999999523163","1","1","1","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","7","41529","0.0-7.0","3R6BYFZZP8YA8L2C49CA1DZQJVYXFU","AX8FMIUNJR0TD","356TQKY9XFJ5S7O4NGX4839SMNB87N","","null","<img src=""img/land2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","8","42417","0.0-8.0","3R6BYFZZP8YA8L2C49CA1DZQJVYXFU","AX8FMIUNJR0TD","356TQKY9XFJ5S7O4NGX4839SMNB87N","","886.6999998092651","img/land3.png","75","888.0999999046326","2","0","3","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","9","42719","0.0-9.0","3R6BYFZZP8YA8L2C49CA1DZQJVYXFU","AX8FMIUNJR0TD","356TQKY9XFJ5S7O4NGX4839SMNB87N","","null","<img src=""img/land3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
